2,100,1680252816.97666,-86,58.25
3,100,1680252817.0421948,-84,58.0
4,100,1680252817.1078181,-88,58.25
5,100,1680252817.173342,-85,58.0
6,100,1680252817.2389376,-84,58.0
7,100,1680252817.304531,-85,58.25
8,100,1680252817.3701146,-86,58.0
9,100,1680252817.435642,-85,58.25
10,100,1680252817.5019948,-87,58.25
11,100,1680252817.568419,-119,58.25
12,100,1680252817.6349542,-85,58.25
13,100,1680252817.7013733,-87,58.25
14,100,1680252817.7677097,-86,58.0
15,100,1680252817.8341193,-85,57.75
16,100,1680252817.900499,-88,58.0
17,100,1680252817.9668863,-85,58.0
18,100,1680252818.033273,-86,58.25
19,100,1680252818.099852,-84,58.0
20,100,1680252818.1664007,-85,58.25
21,100,1680252818.2321737,-84,58.0
22,100,1680252818.2977438,-87,58.25
23,100,1680252818.363295,-83,58.0
24,100,1680252818.4288611,-84,58.25
25,100,1680252818.494429,-86,58.25
26,100,1680252818.5600126,-84,58.25
27,100,1680252818.6256866,-86,57.75
28,100,1680252818.6914134,-85,58.0
29,100,1680252818.757153,-86,57.75
30,100,1680252818.8229291,-118,58.25
31,100,1680252818.8897233,-84,58.25
32,100,1680252818.9563172,-118,57.75
33,100,1680252819.022923,-118,58.0
34,100,1680252819.0895414,-84,58.25
35,100,1680252819.1560805,-107,58.0
36,100,1680252819.222876,-93,58.25
37,100,1680252819.289552,-84,58.0
38,100,1680252819.356098,-85,58.0
39,100,1680252819.4227285,-89,58.25
40,100,1680252819.4894145,-85,58.0
41,100,1680252819.5559475,-88,58.0
42,100,1680252819.622522,-119,58.0
43,100,1680252819.6901608,-99,58.0
44,100,1680252819.7568972,-105,58.0
45,100,1680252819.8234372,-85,58.25
46,100,1680252819.8898356,-85,58.25
47,100,1680252819.9562023,-118,58.0
48,100,1680252820.022786,-85,58.25
49,100,1680252820.0894203,-87,58.0
50,100,1680252820.156031,-84,58.0
51,100,1680252820.222587,-119,58.0
52,100,1680252820.2896883,-89,58.0
53,100,1680252820.3560698,-118,58.0
54,100,1680252820.426384,-119,58.25
55,100,1680252820.4930546,-85,58.5
56,100,1680252820.559641,-84,58.25
57,100,1680252820.6260588,-77,58.0
58,100,1680252820.6926498,-85,58.25
59,100,1680252820.758973,-85,58.0
60,100,1680252820.8253913,-119,58.25
61,100,1680252820.8930275,-89,57.75
62,100,1680252820.9596179,-84,58.25
63,100,1680252821.0261269,-85,58.25
64,100,1680252821.0927076,-118,58.0
65,100,1680252821.162242,-85,58.0
66,100,1680252821.2286832,-87,58.0
67,100,1680252821.295053,-84,58.25
68,100,1680252821.3616722,-117,58.25
69,100,1680252821.4289224,-84,58.0
70,100,1680252821.4955595,-86,58.0
71,100,1680252821.5617254,-88,58.0
72,100,1680252821.6279666,-89,57.75
73,100,1680252821.6946263,-85,57.75
74,100,1680252821.7607605,-86,58.25
75,100,1680252821.8268733,-84,58.0
76,100,1680252821.8926694,-87,58.0
77,100,1680252821.9583805,-85,58.5
78,100,1680252822.0240936,-85,58.0
79,100,1680252822.089685,-88,58.25
80,100,1680252822.1553383,-84,58.0
81,100,1680252822.2208936,-86,58.25
82,100,1680252822.2865176,-87,58.25
83,100,1680252822.3520668,-85,58.0
84,100,1680252822.4177008,-85,58.0
85,100,1680252822.4833896,-85,58.0
86,100,1680252822.549596,-85,58.0
87,100,1680252822.6158824,-87,57.75
88,100,1680252822.6822686,-86,58.0
89,100,1680252822.7485552,-85,58.0
90,100,1680252822.8148828,-84,58.25
91,100,1680252822.8812394,-85,58.25
92,100,1680252822.947629,-85,58.0
93,100,1680252823.013989,-87,58.0
94,100,1680252823.0803292,-84,58.0
95,100,1680252823.14679,-87,58.0
96,100,1680252823.2131908,-86,58.0
97,100,1680252823.2795796,-84,58.0
98,100,1680252823.345915,-85,57.75
99,100,1680252823.4121823,-117,58.0
